OrderID,Amount,OrderDate,CustomerID
614OS21121332481466,"85,000",2021-12-13 09:02:23,4688588
614OS21121331629013,"132,300",2021-12-13 09:02:04,4688588
614OS21121331629013,"132,300",2021-12-13 09:02:04,4688588
614OS21121329535726,"25,000",2021-12-13 08:47:07,4688550
614OS21121329535726,"212,000",2021-12-13 08:47:07,4688550
614OS21121327468486,"16,000",2021-12-13 07:55:56,15082
614OS21121326210500,"69,000",2021-12-13 07:37:48,4638880
614OS21121326210500,"69,000",2021-12-13 07:37:48,4638880
614OS21121326210500,"1,005,000",2021-12-13 07:37:48,4638880
614OS21121275158126,"30,000",2021-12-12 21:00:56,2266755
614OS21121275158126,"25,000",2021-12-12 21:00:56,2266755
614OS21121275158126,"37,000",2021-12-12 21:00:56,2266755
614OS21121275158126,"47,000",2021-12-12 21:00:56,2266755
614OS21121275158126,"19,000",2021-12-12 21:00:56,2266755
614OS21121274296360,"279,000",2021-12-12 20:52:36,4688294
614OS21121273097683,"48,300",2021-12-12 20:38:14,1639423
614OS21121273097683,"32,900",2021-12-12 20:38:14,1639423
614OS21121273097683,"25,200",2021-12-12 20:38:14,1639423
614OS21121273097683,"18,900",2021-12-12 20:38:14,1639423
614OS21121273097683,"73,500",2021-12-12 20:38:14,1639423
614OS21121273097683,"33,600",2021-12-12 20:38:14,1639423
614OS21121273097683,"22,400",2021-12-12 20:38:14,1639423
614OS21121273097683,"18,900",2021-12-12 20:38:14,1639423
614OS21121273097683,"20,300",2021-12-12 20:38:14,1639423
614OS21121273995516,"325,000",2021-12-12 20:34:29,4656972
614OS21121273974813,"110,000",2021-12-12 20:33:15,15082
614OS21121270305490,"2,000",2021-12-12 19:34:56,1219670
614OS21121270305490,"2,000",2021-12-12 19:34:56,1219670
614OS21121270305490,"349,000",2021-12-12 19:34:56,1219670
614OS21121270305490,"7,000",2021-12-12 19:34:56,1219670
614OS21121269129910,"59,000",2021-12-12 19:31:45,1332514
614OS21121268222953,"48,300",2021-12-12 19:12:09,4609968
614OS21121268222953,"220,500",2021-12-12 19:12:09,4609968
614OS21121268389673,"349,000",2021-12-12 19:09:16,3702691
614OS21121266721356,"8,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"2,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"129,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"95,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"185,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"55,000",2021-12-12 18:36:06,4687751
614OS21121266721356,"99,000",2021-12-12 18:36:06,4687751
614OS21121265746980,"295,000",2021-12-12 18:24:48,4687700
614OS21121265294946,0,2021-12-12 18:15:31,3407258
614OS21121265294946,"38,000",2021-12-12 18:15:31,3407258
614OS21121265294946,"160,000",2021-12-12 18:15:31,3407258
614OS21121265294946,"678,000",2021-12-12 18:15:31,3407258
614OS21121265294946,"159,000",2021-12-12 18:15:31,3407258
614OS21121263865053,"49,500",2021-12-12 18:08:13,4094068
614OS21121263865053,"23,000",2021-12-12 18:08:13,4094068
614OS21121263865053,"174,300",2021-12-12 18:08:13,4094068
614OS21121263865053,"26,000",2021-12-12 18:08:13,4094068
614OS21121263865053,"22,000",2021-12-12 18:08:13,4094068
614OS21121263865053,"25,000",2021-12-12 18:08:13,4094068
614OS21121263865053,"29,000",2021-12-12 18:08:13,4094068
614OS21121263818366,"69,000",2021-12-12 17:44:22,4687469
614OS21121263818366,"25,000",2021-12-12 17:44:22,4687469
614OS21121263203770,"125,000",2021-12-12 17:43:36,4687461
614OS21121262942566,"95,000",2021-12-12 17:33:23,4687373
614OS21121261287123,"45,000",2021-12-12 17:28:59,4687373
614OS21121261287123,"160,000",2021-12-12 17:28:59,4687373
614OS21121261227780,"558,000",2021-12-12 17:01:24,3932236
614OS21121260994453,"25,000",2021-12-12 17:00:20,4637801
614OS21121260956906,"40,000",2021-12-12 16:56:34,4636183
614OS21121258839680,"539,000",2021-12-12 16:55:51,4636183
614OS21121258839680,"110,000",2021-12-12 16:55:51,4636183
